is_active,message_template,subject,total_sent,name,channel,last_run,trigger,days_offset,id,created_date,updated_date,created_by_id,is_sample
"true","Olá {nome}! 👋

Sua consulta está agendada para {data} às {hora}.

Serviço: {servico}

Caso precise remarcar, entre em contato conosco.

Até logo!
Prime Odontologia","Lembrete: sua consulta é amanhã!","0","Lembrete de Consulta","both","2026-02-24T11:00:35.375Z","appointment_reminder","-1","6999d8e786384047c3bc6576","2026-02-21T16:10:15.910000","2026-02-24T11:00:35.527000","697e811fd4fc2230311435d8","false"
"true","Olá {nome}! 👋

Sua consulta está agendada para {data} às {hora}.

Serviço: {servico}

Caso precise remarcar, entre em contato conosco.

Até logo!
Prime Odontologia","Lembrete: sua consulta é amanhã!","0","Lembrete de Consulta","email","2026-02-24T11:00:35.600Z","appointment_reminder","-1","6999d8dfec865aed6387f7b3","2026-02-21T16:10:07.008000","2026-02-24T11:00:35.807000","697e811fd4fc2230311435d8","false"
