icon_url,short_description,keywords,apple_store_url,description,current_version,rating_android,rating_ios,revenue_total,platform,screenshots,downloads_ios,app_name,release_date,price,bundle_id,last_update,downloads_android,category,google_play_url,has_iap,status,id,created_date,updated_date,created_by_id,is_sample
"","","[]","","OmniOs","","","","0","both","[]","0","Omni Os","","0","","","0","productivity","","false","development","6998b2c5976132302cbf63a9","2026-02-20T19:15:17.245000","2026-02-20T19:15:17.245000","697e811fd4fc2230311435d8","false"
"","","[]","","Controle o seu negocio, com o OmniOS","","","","0","both","[]","0","OmniOS","","0","","","0","business","","false","development","6995fd1f0e8c907e1a914d5a","2026-02-18T17:55:43.753000","2026-02-18T17:55:43.753000","697e811fd4fc2230311435d8","false"
