cost,image_url,description,whatsapp_enabled,stock_quantity,price,min_stock_level,name,currency,category,sku,status,whatsapp_message_template,id,created_date,updated_date,created_by_id,is_sample
"100","https://base44.app/api/apps/697e811fd4fc2230311435d7/files/public/697e811fd4fc2230311435d7/f5c09f0ef_12.jpeg","","true","20","180","5","Manutenção em Ortodontia - High Ticket","USD","","","active","","6998dfc2f40ed6bda0840d95","2026-02-20T22:27:14.296000","2026-02-20T22:27:54.264000","697e811fd4fc2230311435d8","false"
"80","https://base44.app/api/apps/697e811fd4fc2230311435d7/files/public/697e811fd4fc2230311435d7/352c46c86_1.jpeg","Limpeza bucal e profilaxia dentaria","true","20","180","5","Limpeza Bucal","USD","","","active","","6998df51a36ed8d927a2e511","2026-02-20T22:25:21.122000","2026-02-20T22:26:02.827000","697e811fd4fc2230311435d8","false"
"100","https://base44.app/api/apps/697e811fd4fc2230311435d7/files/public/697e811fd4fc2230311435d7/92d65051e_16.jpeg","Cirurgia dos Sisos","true","20","600","5","Cirurgia Dos Sisos","USD","Cirurgia","","active","","6998debd033a9a6ba02c9bd2","2026-02-20T22:22:53.262000","2026-02-20T22:26:19.857000","697e811fd4fc2230311435d8","false"
"80","https://base44.app/api/apps/697e811fd4fc2230311435d7/files/public/697e811fd4fc2230311435d7/dd5ed125a_IMG_3709.jpeg","Manutenção em Ortodontia","true","100","120","5","Manutenção em Ortodontia - Low Ticket","USD","Ortodontia","","active","","6998c5c8c2ffae03110a522a","2026-02-20T20:36:24.408000","2026-02-20T22:26:55.684000","697e811fd4fc2230311435d8","false"
"5000","https://base44.app/api/apps/697e811fd4fc2230311435d7/files/public/697e811fd4fc2230311435d7/23a915f5e_invisalign3.jpg","Moderate","true","10","11900","5","Invisalign Moderate","BRL","Services","Invisalign-Moderate","active","","69875582dcbe627483f12e3a","2026-02-07T15:08:50.648000","2026-02-20T22:06:44.160000","697e811fd4fc2230311435d8","false"
"4000","https://base44.app/api/apps/697e811fd4fc2230311435d7/files/public/697e811fd4fc2230311435d7/89ecd75d6_invisalign2.jpeg","Express","true","10","6900","5","Invisalign Express","BRL","Services","Invisalign-Express","active","Gostaria de saber mais sobre o Invisalign Express!","697e830a46431f50ad269b7b","2026-01-31T22:32:42.132000","2026-02-21T17:00:27.761000","697e811fd4fc2230311435d8","false"
"5000","https://base44.app/api/apps/697e811fd4fc2230311435d7/files/public/697e811fd4fc2230311435d7/2aab66a1d_IMG_3723.jpeg","Invisalign Lite","true","10","8900","5","Invisalign Lite","BRL","Services","Invisalign-Lite","active","Gostaria de te explicar mais sobre o Invisalign Lite!","697e830a46431f50ad269b7d","2026-01-31T22:32:42.132000","2026-02-20T20:45:36.565000","697e811fd4fc2230311435d8","false"
"6000","https://primeodontologia.com.br/wp-content/uploads/2025/12/d839b3cb-5407-4b1d-afab-859d68ec07f4.jpg","Comprehensive","true","10","16900","5","Invisalign Comprehensive","BRL","Services","Invisalign-Comprehensive","active","Olá, tudo bem? Gostaria de te apresentar o Invisalign Compreehensive...","697e830a46431f50ad269b7e","2026-01-31T22:32:42.132000","2026-02-20T20:44:07.841000","697e811fd4fc2230311435d8","false"
